id,name,address,province,district,ward,admin_codes,latitude,longitude,type,market_segment,area,frontage,floors,rent_per_sqm_million,price,currency,price_unit,images,amenities_schools,amenities_offices,amenities_competitors,ai_suggested_price,ai_potential_score,ai_risk_level,views,savedCount,posted_at,owner,primary_image_url,image_source,image_author,image_license_names,image_license_urls,image_page_url,image_required_credit
VN26000001,Mặt bằng 1 - streetfront,"221 Phố B8, Phường Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh",Hồ Chí Minh,Quận 1,Tân Định,"{'level1_id': '79', 'level2_id': '760', 'level3_id': '26734'}",10.79218578338623,106.69123989760891,streetfront,street_retail,75.2,4.0,1,2.084,156.7,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/0/01/Hanoi_shoe_shop.JPG'],31,53,25,154.2,16.1,High,150,4,2025-11-14T16:46:00,"{'name': 'Trần Văn Thắng', 'phone': '0502419543'}",https://upload.wikimedia.org/wikipedia/commons/0/01/Hanoi_shoe_shop.JPG,Wikimedia Commons,Northboer,CC BY-SA 3.0; GFDL 1.2+,https://creativecommons.org/licenses/by-sa/3.0; http://www.gnu.org/copyleft/fdl.html,https://commons.wikimedia.org/wiki/File:Hanoi_shoe_shop.JPG,Northboer
VN26000002,Mặt bằng Phú Nhuận - office,"165 Đường Nguyễn Văn Nam 4, Phường Phường 7, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,Phường 7,"{'level1_id': '79', 'level2_id': '768', 'level3_id': '27052'}",10.800498485565214,106.68893193786298,office,office,71.6,2.8,20,0.405,29.0,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/b/b7/Saigon_Rice_shop.jpg'],21,129,15,28.8,46.8,Medium,992,48,2025-08-27T01:49:00,"{'name': 'Dương Quốc Châu', 'phone': '0977406788'}",https://upload.wikimedia.org/wikipedia/commons/b/b7/Saigon_Rice_shop.jpg,Wikimedia Commons,Takeaway,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Saigon_Rice_shop.jpg,Takeaway
VN26000003,Mặt bằng 1 - streetfront,"68 Đường Lê Văn Phương 48, Phường Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh",Hồ Chí Minh,Quận 1,Nguyễn Cư Trinh,"{'level1_id': '79', 'level2_id': '760', 'level3_id': '26758'}",10.762911319732694,106.68679713353913,streetfront,street_retail,51.2,4.9,1,1.67,85.5,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/3/32/Saigon_cafe_filtre_01.jpg'],32,85,76,94.1,0.0,High,163,3,2025-11-01T18:25:00,"{'name': 'Đỗ Quang Khang', 'phone': '0975271292'}",https://upload.wikimedia.org/wikipedia/commons/3/32/Saigon_cafe_filtre_01.jpg,Wikimedia Commons,Takeaway,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Saigon_cafe_filtre_01.jpg,Takeaway
VN26000004,Mặt bằng Bình Thạnh - shophouse,"80 Đường Số 11, Phường Phường 5, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Phường 5,"{'level1_id': '79', 'level2_id': '765', 'level3_id': '26923'}",10.812755107879724,106.68776331478244,shophouse,street_retail,203.7,9.5,3,1.705,347.4,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/a/a2/Made_in_Vietnam_Shop_%283409524456%29.jpg'],31,135,35,310.5,21.4,High,278,9,2025-09-28T15:50:00,"{'name': 'Võ Minh Vy', 'phone': '0579298685'}",https://upload.wikimedia.org/wikipedia/commons/a/a2/Made_in_Vietnam_Shop_%283409524456%29.jpg,Wikimedia Commons (via Flickr),Holiday Point,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:Made_in_Vietnam_Shop,_Hanoi_(8120854005).jpg",Holiday Point
VN26000005,Mặt bằng 3 - office,"383 Hẻm 9, Phường Phường 11, Quận 3, Thành phố Hồ Chí Minh",Hồ Chí Minh,Quận 3,Phường 11,"{'level1_id': '79', 'level2_id': '770', 'level3_id': '27133'}",10.78636503219613,106.66998423276434,office,office,10.0,0.2,12,0.59,5.9,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/c/cf/Cafe_Dinh_Tien_Hoang_%286286875974%29.jpg'],24,129,19,6.5,46.0,Medium,1975,23,2025-12-10T08:17:00,"{'name': 'Lê Ngọc Nhung', 'phone': '0396828892'}",https://upload.wikimedia.org/wikipedia/commons/c/cf/Cafe_Dinh_Tien_Hoang_%286286875974%29.jpg,Wikimedia Commons (via Flickr),Nam-ho Park,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:Cafe,_Dinh_Tien_Hoang_street,_Hanoi.jpg",Nam-ho Park
VN26000006,Mặt bằng Phú Nhuận - streetfront,"399 Ngõ 21, Phường Phường 8, Quận Phú Nhuận, Thành phố Hồ Chí Minh",Hồ Chí Minh,Phú Nhuận,Phường 8,"{'level1_id': '79', 'level2_id': '768', 'level3_id': '27064'}",10.797584056854305,106.67492728447903,streetfront,street_retail,151.0,7.7,1,2.126,321.0,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/8/89/Hanoi_Vietnam_Shops-in-Hanoi-01.jpg'],30,76,32,377.3,19.0,High,232,4,2025-09-15T16:34:00,"{'name': 'Lý Hồng Kiên', 'phone': '0895594793'}",https://upload.wikimedia.org/wikipedia/commons/8/89/Hanoi_Vietnam_Shops-in-Hanoi-01.jpg,Wikimedia Commons,"CEphoto, Uwe Aranas",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Hanoi_Vietnam_Shops-in-Hanoi-01.jpg,"Photo by CEphoto, Uwe Aranas"
VN26000007,Mặt bằng Bình Thạnh - streetfront,"193 Đường Võ Yến 10, Phường Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Hồ Chí Minh,Bình Thạnh,Phường 2,"{'level1_id': '79', 'level2_id': '765', 'level3_id': '26941'}",10.798670291900663,106.70125666359101,streetfront,street_retail,73.4,7.2,1,2.371,174.0,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Hanoi_Street_Shop.jpg/960px-Hanoi_Street_Shop.jpg'],5,64,54,183.2,10.8,High,179,7,2025-10-17T17:54:00,"{'name': 'Võ Đức Kiên', 'phone': '0395081669'}",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Hanoi_Street_Shop.jpg/960px-Hanoi_Street_Shop.jpg,Wikimedia Commons (via Flickr),Radek Kucharski,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Hanoi_Street_Shop.jpg,Radek Kucharski
VN26000008,Mặt bằng 5 - streetfront,"96 Đường Hoàng Kiên 66, Phường Phường 5, Quận 5, Thành phố Hồ Chí Minh",Hồ Chí Minh,Quận 5,Phường 5,"{'level1_id': '79', 'level2_id': '774', 'level3_id': '27334'}",10.750333309173556,106.6747016417115,streetfront,street_retail,118.0,8.9,1,1.458,172.0,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/b/b4/Gloria_Jean%27s_Coffee_Saigon_2007.jpg'],29,153,75,151.6,17.2,High,670,31,2025-07-25T02:49:00,"{'name': 'Ngô Hồng Thảo', 'phone': '0315247847'}",https://upload.wikimedia.org/wikipedia/commons/b/b4/Gloria_Jean%27s_Coffee_Saigon_2007.jpg,Wikimedia Commons,Kham Tran,CC BY 3.0; GFDL 1.2+,https://creativecommons.org/licenses/by/3.0; http://www.gnu.org/copyleft/fdl.html,https://commons.wikimedia.org/wiki/File:Gloria_Jean%27s_Coffee_Saigon_2007.jpg,Kham Tran
VN26000009,Mặt bằng 4 - office,"285 Ngõ 65, Phường Phường 4, Quận 4, Thành phố Hồ Chí Minh",Hồ Chí Minh,Quận 4,Phường 4,"{'level1_id': '79', 'level2_id': '773', 'level3_id': '27283'}",10.755785942077694,106.70368239895535,office,office,61.3,3.0,20,0.507,31.1,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/3/31/Cafe%2C_Tay_Ho%2C_Hanoi_%286923050916%29.jpg'],7,74,13,33.8,46.1,Medium,428,27,2026-01-05T03:26:00,"{'name': 'Ngô Quốc Thảo', 'phone': '0875044437'}",https://upload.wikimedia.org/wikipedia/commons/3/31/Cafe%2C_Tay_Ho%2C_Hanoi_%286923050916%29.jpg,Wikimedia Commons (via Flickr),David McKelvey,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"https://commons.wikimedia.org/wiki/File:Cafe,_Tay_Ho,_Hanoi_(6923050916).jpg",David McKelvey
VN26000010,Mặt bằng 3 - streetfront,"62 Phố A27, Phường Phường 4, Quận 3, Thành phố Hồ Chí Minh",Hồ Chí Minh,Quận 3,Phường 4,"{'level1_id': '79', 'level2_id': '770', 'level3_id': '27148'}",10.773875713348502,106.68307426209569,streetfront,street_retail,107.2,6.8,1,1.393,149.3,VND,million_vnd_per_month,['https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Cafe_-_Hanoi_Botanical_Garden_-_Hanoi%2C_Vietnam_-_DSC03619.JPG/960px-Cafe_-_Hanoi_Botanical_Garden_-_Hanoi%2C_Vietnam_-_DSC03619.JPG'],27,74,64,157.7,11.1,High,164,10,2025-09-18T11:56:00,"{'name': 'Lê Ngọc Nga', 'phone': '0335356630'}",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Cafe_-_Hanoi_Botanical_Garden_-_Hanoi%2C_Vietnam_-_DSC03619.JPG/960px-Cafe_-_Hanoi_Botanical_Garden_-_Hanoi%2C_Vietnam_-_DSC03619.JPG,Wikimedia Commons,Daderot,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,"https://commons.wikimedia.org/wiki/File:Cafe_-_Hanoi_Botanical_Garden_-_Hanoi,_Vietnam_-_DSC03619.JPG",Daderot (optional)
